Kinase,Dataset,Validity,Uniqueness,Diversity,Novelty,Recovery/Frag,Recovery/Scaf,Active_rate,Success_rate
CDK6,Davis-all,1,1,0.97,0.802,0.067,0,1,0.886
CDK9,Davis-all,1,1,0.954,0.701,0.131,0.001,1,0.906
EGFR,Davis-all,1,1,0.957,0.739,0.242,0.008,1,0.848
LRRK2,Davis-all,1,1,0.969,0.751,0.102,0.001,1,0.887
PIK3CA,Davis-all,1,1,0.958,0.71,0.188,0.004,1,0.888
PIK3CD,Davis-all,1,1,0.96,0.734,0.213,0.001,1,0.908
PIK3CG,Davis-all,1,1,0.96,0.748,0.17,0.003,1,0.909
ROCK1,Davis-all,1,1,0.969,0.739,0.115,0.001,1,0.88
ROCK2,Davis-all,1,1,0.965,0.766,0.187,0.002,1,0.91
BRAF,Davis-all,1,1,0.957,0.708,0.121,0.001,1,0.905
mTOR,Davis-all,1,1,0.982,0.819,0.144,0.001,1,0.884
JAK1,Davis-all,1,1,0.96,0.725,0.192,0.002,1,0.924
JAK2,Davis-all,1,1,0.973,0.754,0.252,0.004,1,0.897
JAK3,Davis-all,1,1,0.947,0.688,0.194,0.003,1,0.886
ALK,KIBA,1,1,0.958,0.741,0.101,0.002,1,0.873
CDK2,KIBA,1,1,0.965,0.765,0.119,0.005,1,0.918
CDK4,KIBA,1,1,0.949,0.689,0.097,0.003,1,0.888
CDK6,KIBA,1,1,0.946,0.724,0.074,0.001,1,0.89
CDK9,KIBA,1,1,0.945,0.684,0.151,0.001,1,0.819
EGFR,KIBA,1,1,0.957,0.73,0.188,0.005,1,0.854
LRRK2,KIBA,1,1,0.945,0.714,0.116,0.001,1,0.892
PIK3CA,KIBA,1,1,0.95,0.747,0.147,0.001,1,0.875
PIK3CD,KIBA,1,1,0.946,0.721,0.22,0.002,1,0.9
PIK3CG,KIBA,1,1,0.951,0.721,0.173,0.001,1,0.915
ROCK1,KIBA,1,1,0.959,0.745,0.098,0,1,0.882
ROCK2,KIBA,1,1,0.97,0.759,0.141,0.001,1,0.884
BRAF,KIBA,1,1,0.934,0.701,0.156,0.001,1,0.897
mTOR,KIBA,1,1,0.962,0.716,0.14,0.001,1,0.87
JAK1,KIBA,1,1,0.95,0.717,0.167,0.001,1,0.848
JAK2,KIBA,1,1,0.958,0.72,0.183,0.003,1,0.868
JAK3,KIBA,1,1,0.97,0.773,0.175,0.003,1,0.916
ALK,KIBA-specific,1,1,0.937,0.676,0.103,0.001,1,0.876
CDK2,KIBA-specific,1,1,0.942,0.725,0.187,0.003,1,0.826
CDK4,KIBA-specific,1,1,0.94,0.771,0.155,0.001,1,0.805
CDK6,KIBA-specific,1,1,0.934,0.702,0.092,0.001,1,0.754
CDK9,KIBA-specific,1,1,0.913,0.628,0.174,0.001,1,0.849
EGFR,KIBA-specific,1,1,0.949,0.701,0.253,0.006,1,0.776
LRRK2,KIBA-specific,1,1,0.946,0.682,0.105,0.001,1,0.796
PIK3CA,KIBA-specific,1,1,0.931,0.69,0.235,0.002,1,0.853
PIK3CD,KIBA-specific,1,1,0.939,0.684,0.271,0.001,1,0.794
PIK3CG,KIBA-specific,1,1,0.929,0.698,0.2,0.001,1,0.786
ROCK1,KIBA-specific,1,1,0.926,0.654,0.115,0,1,0.803
ROCK2,KIBA-specific,1,1,0.955,0.712,0.189,0.001,1,0.824
BRAF,KIBA-specific,1,1,0.953,0.765,0.161,0,1,0.833
mTOR,KIBA-specific,1,1,0.952,0.748,0.2,0,1,0.79
JAK1,KIBA-specific,1,1,0.923,0.65,0.221,0.001,1,0.787
JAK2,KIBA-specific,1,1,0.948,0.709,0.275,0.004,1,0.817
JAK3,KIBA-specific,1,0.999,0.9,0.648,0.228,0.001,1,0.807
ALK,KIBA-all,1,1,0.961,0.771,0.128,0.001,1,0.861
CDK2,KIBA-all,1,1,0.935,0.694,0.174,0.003,1,0.82
CDK4,KIBA-all,1,1,0.959,0.785,0.141,0.002,1,0.873
CDK6,KIBA-all,1,1,0.962,0.746,0.067,0,1,0.827
CDK9,KIBA-all,1,1,0.949,0.758,0.183,0,1,0.842
EGFR,KIBA-all,1,1,0.962,0.772,0.239,0.004,1,0.841
LRRK2,KIBA-all,1,1,0.951,0.765,0.126,0,1,0.801
PIK3CA,KIBA-all,1,1,0.945,0.714,0.234,0.001,1,0.845
PIK3CD,KIBA-all,1,1,0.957,0.756,0.239,0.001,1,0.864
PIK3CG,KIBA-all,1,0.999,0.94,0.735,0.19,0.001,1,0.836
ROCK1,KIBA-all,1,1,0.947,0.7,0.124,0.001,1,0.835
ROCK2,KIBA-all,1,1,0.955,0.757,0.216,0.003,1,0.838
BRAF,KIBA-all,1,1,0.956,0.761,0.159,0.001,1,0.861
mTOR,KIBA-all,1,1,0.957,0.765,0.174,0.001,1,0.802
JAK1,KIBA-all,1,1,0.95,0.73,0.216,0.001,1,0.867
JAK2,KIBA-all,1,1,0.951,0.757,0.277,0.003,1,0.827
JAK3,KIBA-all,1,1,0.929,0.654,0.225,0.002,1,0.845

